,doc_id,author,authoryearofbirth,authoryearofdeath,no_words,len,Gut_id
0,New Witnesses for God (Volume 2 of 3),"Roberts, B. H. (Brigham Henry)",1857.0,1933.0,152134,152134,Gut_28784
0,"Puss in Boots, Jr., and the Good Gray Horse","Cory, David",1872.0,1966.0,22078,22078,Gut_17159
0,"The Golden Bough: A Study in Magic and Religion (Third Edition, Vol. 08 of 12)","Frazer, James George",1854.0,1941.0,170046,170046,Gut_24975
0,Three Contributions to the Theory of Sex,"Freud, Sigmund",1856.0,1939.0,42180,42180,Gut_3542
0,The Trapper's Son,"Kingston, William Henry Giles",1814.0,1880.0,27763,27763,Gut_8398
0,Novice,"Schmitz, James H.",1911.0,1981.0,12676,12676,Gut_15058
0,Songs of the Sea and Lays of the Land,"Leland, Charles Godfrey",1824.0,1903.0,33596,33596,Gut_31239
0,"The Elements of Drawing, in Three Letters to Beginners","Ruskin, John",1819.0,1900.0,73742,73742,Gut_14942
0,The Little School-Mothers,"Meade, L. T.",1854.0,1914.0,82347,82347,Gut_25639
0,Marm Lisa,"Wiggin, Kate Douglas Smith",1856.0,1923.0,37989,37989,Gut_15890
0,True Stories of Girl Heroines,"Everett-Green, Evelyn",1856.0,1932.0,85971,85971,Gut_23398
0,Sinister Paradise,"Williams, Robert Moore",1907.0,1977.0,15779,15779,Gut_16611
0,"The Colonies, 1492-1750","Thwaites, Reuben Gold",1853.0,1913.0,93509,93509,Gut_25265
0,The Deadly Daughters,"Marks, Winston K. (Winston Kinney)",1915.0,1979.0,3531,3531,Gut_11050
0,Side Lights,"Runciman, James",1852.0,1891.0,68568,68568,Gut_4109
0,Nona Vincent,"James, Henry",1843.0,1916.0,12234,12234,Gut_12621
0,Dora Thorne,"Brame, Charlotte M.",1836.0,1884.0,101967,101967,Gut_10176
0,The Desert Valley,"Gregory, Jackson",1882.0,1943.0,82108,82108,Gut_3922
0,Paul Clifford — Volume 04,"Lytton, Edward Bulwer Lytton, Baron",1803.0,1873.0,28285,28285,Gut_40434
0,Kipps: The Story of a Simple Soul,"Wells, H. G. (Herbert George)",1866.0,1946.0,110352,110352,Gut_22286
0,Poems,"Hugo, Victor",1802.0,1885.0,69824,69824,Gut_41182
0,Essays of Travel,"Stevenson, Robert Louis",1850.0,1894.0,69707,69707,Gut_39098
0,The Adventures of a Country Boy at a Country Fair,"Otis, James",1848.0,1912.0,62656,62656,Gut_21067
0,The Fortunes of Philippa: A School Story,"Brazil, Angela",1869.0,1947.0,42169,42169,Gut_17505
0,Stories from Virgil,"Church, Alfred John",1829.0,1912.0,54438,54438,Gut_23502
0,"Northern Lands; Or, Young America in Russia and Prussia","Optic, Oliver",1822.0,1897.0,93880,93880,Gut_33790
0,The Four Stragglers,"Packard, Frank L. (Frank Lucius)",1877.0,1942.0,76314,76314,Gut_38378
0,A Prince of Swindlers,"Boothby, Guy",1867.0,1905.0,59871,59871,Gut_34328
0,If: A Play in Four Acts,"Dunsany, Lord",1878.0,1957.0,20334,20334,Gut_2235
0,The Montessori Method: Scientific Pedagogy as Applied to Child Education in 'The Children's Houses' with Additions and Revisions by the Author,"Montessori, Maria",1870.0,1952.0,118641,118641,Gut_22843
0,"Arminell: A Social Romance, Vol. 3","Baring-Gould, S. (Sabine)",1834.0,1924.0,52696,52696,Gut_32689
0,Wolfville Nights,"Lewis, Alfred Henry",1857.0,1914.0,81266,81266,Gut_2651
0,Press Cuttings,"Shaw, Bernard",1856.0,1950.0,12078,12078,Gut_36229
0,"The Business, As Usual","Sharkey, Jack",1931.0,1992.0,2602,2602,Gut_31830
0,The Lure of the Mask,"MacGrath, Harold",1871.0,1932.0,85669,85669,Gut_8965
0,The Courtship of Morrice Buckler: A Romance,"Mason, A. E. W. (Alfred Edward Woodley)",1865.0,1948.0,96471,96471,Gut_21890
0,Vittoria — Volume 4,"Meredith, George",1828.0,1909.0,24022,24022,Gut_26619
0,The Crossing,"Churchill, Winston",1871.0,1947.0,204803,204803,Gut_22076
0,Menotah: A Tale of the Riel Rebellion,"Trevena, John",1870.0,,89769,89769,Gut_19039
0,The Fatal Boots,"Thackeray, William Makepeace",1811.0,1863.0,18532,18532,Gut_13503
0,Astronomy for Amateurs,"Flammarion, Camille",1842.0,1925.0,66455,66455,Gut_11254
0,"Asa Holmes; or, At the Cross-Roads","Johnston, Annie F. (Annie Fellows)",1863.0,1931.0,31072,31072,Gut_22620
0,Marquise Brinvillier: Celebrated Crimes,"Dumas, Alexandre",1802.0,1870.0,27735,27735,Gut_12889
0,Morality Without God: A Lecture Delivered Before the Independent Religious Society,"Mangasarian, M. M. (Mangasar Mugurditch)",1859.0,1943.0,8090,8090,Gut_27352
0,The Land of Midian (Revisited) — Volume 2,"Burton, Richard Francis, Sir",1821.0,1890.0,74692,74692,Gut_39866
0,"The Stones of Venice, Volume 1 (of 3)","Ruskin, John",1819.0,1900.0,156698,156698,Gut_15290
0,The Castaways of Pete's Patch: (A Sequel to The Adopting of Rosa Marie),"Rankin, Carroll Watson",1870.0,,45846,45846,Gut_28128
0,Letters of Peregrine Pickle,"Upton, George P. (George Putnam)",1834.0,1919.0,91035,91035,Gut_26274
0,"Father Brighthopes; Or, An Old Clergyman's Vacation","Trowbridge, J. T. (John Townsend)",1827.0,1916.0,52733,52733,Gut_17365
0,John Galsworthy,"Kaye-Smith, Sheila",1887.0,1956.0,18303,18303,Gut_35207
0,Over the Rocky Mountains: Wandering Will in the Land of the Redskin,"Ballantyne, R. M. (Robert Michael)",1825.0,1894.0,27665,27665,Gut_10372
0,A Son of the Soil,"Oliphant, Mrs. (Margaret)",1828.0,1897.0,196094,196094,Gut_36811
0,Love and Other Stories,"Chekhov, Anton Pavlovich",1860.0,1904.0,66167,66167,Gut_2455
0,"Dave Porter and His Classmates; Or, For the Honor of Oak Hall","Stratemeyer, Edward",1862.0,1930.0,64556,64556,Gut_33309
0,"The Tent on the Beach, and other poems: Part 4 from Volume IV of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,10941,10941,Gut_41729
0,A Coin of Edward VII: A Detective Story,"Hume, Fergus",1859.0,1932.0,79481,79481,Gut_11865
0,The Arrow of Gold: A Story Between Two Notes,"Conrad, Joseph",1857.0,1924.0,107864,107864,Gut_595
0,"""Bethink Yourselves!""","Tolstoy, Leo, graf",1828.0,1910.0,13719,13719,Gut_12628
0,Happy Days,"Milne, A. A. (Alan Alexander)",1882.0,1956.0,70659,70659,Gut_11891
0,Fishpingle: A Romance of the Countryside,"Vachell, Horace Annesley",1861.0,1955.0,77089,77089,Gut_30920
0,The Snow-Image: A Childish Miracle,"Hawthorne, Nathaniel",1804.0,1864.0,6362,6362,Gut_14987
0,Among the Tibetans,"Bird, Isabella L. (Isabella Lucy)",1831.0,1904.0,27222,27222,Gut_24372
0,Abijah's Bubble,"Smith, Francis Hopkinson",1838.0,1915.0,6287,6287,Gut_10147
0,Desperate Remedies,"Hardy, Thomas",1840.0,1928.0,140453,140453,Gut_15051
0,Practical Psychomancy and Crystal Gazing,"Atkinson, William Walker",1862.0,1932.0,20512,20512,Gut_26273
0,Frank in the Mountains,"Castlemon, Harry",1842.0,1915.0,52430,52430,Gut_24524
0,The Literary Sense,"Nesbit, E. (Edith)",1858.0,1924.0,58167,58167,Gut_22415
0,A Padre in France,"Birmingham, George A.",1865.0,1950.0,58522,58522,Gut_13352
0,"The Aeroplane Express; or, The Boy Aeronaut's Grit","Sayler, H. L. (Harry Lincoln)",1863.0,1913.0,44006,44006,Gut_34928
0,The Battle and the Breeze,"Ballantyne, R. M. (Robert Michael)",1825.0,1894.0,26232,26232,Gut_9872
0,"The Money Master, Volume 4.","Parker, Gilbert",1862.0,1932.0,24873,24873,Gut_39096
